package,class,line,full_coverage,partial_coverage,no_coverage
org.mockito.configuration,DefaultMockitoConfiguration,18,420,0,0
org.mockito.configuration,DefaultMockitoConfiguration,21,298,0,122
org.mockito.configuration,DefaultMockitoConfiguration,28,386,0,34
org.mockito.configuration,DefaultMockitoConfiguration,35,0,0,420
org.mockito.configuration,DefaultMockitoConfiguration,42,0,0,420
org.mockito.exceptions.base,MockitoAssertionError,18,120,0,300
org.mockito.exceptions.base,MockitoAssertionError,20,120,0,300
org.mockito.exceptions.base,MockitoAssertionError,22,120,0,300
org.mockito.exceptions.base,MockitoAssertionError,23,120,0,300
org.mockito.exceptions.base,MockitoAssertionError,24,120,0,300
org.mockito.exceptions.base,MockitoAssertionError,33,1,0,419
org.mockito.exceptions.base,MockitoAssertionError,34,1,0,419
org.mockito.exceptions.base,MockitoAssertionError,35,1,0,419
org.mockito.exceptions.base,MockitoAssertionError,36,1,0,419
org.mockito.exceptions.base,MockitoAssertionError,39,1,0,419
org.mockito.exceptions.base,MockitoException,29,1,0,419
org.mockito.exceptions.base,MockitoException,30,1,0,419
org.mockito.exceptions.base,MockitoException,31,1,0,419
org.mockito.exceptions.base,MockitoException,34,64,0,356
org.mockito.exceptions.base,MockitoException,35,64,0,356
org.mockito.exceptions.base,MockitoException,36,64,0,356
org.mockito.exceptions.base,MockitoException,39,65,0,355
org.mockito.exceptions.base,MockitoException,41,65,0,355
org.mockito.exceptions.base,MockitoException,42,65,0,355
org.mockito.exceptions.base,MockitoException,43,65,0,355
org.mockito.exceptions.base,MockitoException,46,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,28,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,29,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,30,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,31,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,34,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,36,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,37,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,38,0,0,420
org.mockito.exceptions.base,MockitoSerializationIssue,41,0,0,420
org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,7,0,0,420
org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,8,0,0,420
org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,13,0,0,420
org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,14,0,0,420
org.mockito.exceptions.misusing,FriendlyReminderException,15,2,0,418
org.mockito.exceptions.misusing,FriendlyReminderException,16,2,0,418
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,15,3,0,417
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,16,3,0,417
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,19,0,0,420
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,20,0,0,420
org.mockito.exceptions.misusing,MissingMethodInvocationException,15,5,0,415
org.mockito.exceptions.misusing,MissingMethodInvocationException,16,5,0,415
org.mockito.exceptions.misusing,MockitoConfigurationException,14,0,0,420
org.mockito.exceptions.misusing,MockitoConfigurationException,15,0,0,420
org.mockito.exceptions.misusing,MockitoConfigurationException,18,0,0,420
org.mockito.exceptions.misusing,MockitoConfigurationException,19,0,0,420
org.mockito.exceptions.misusing,NotAMockException,15,9,0,411
org.mockito.exceptions.misusing,NotAMockException,16,9,0,411
org.mockito.exceptions.misusing,NullInsteadOfMockException,15,3,0,417
org.mockito.exceptions.misusing,NullInsteadOfMockException,16,3,0,417
org.mockito.exceptions.misusing,UnfinishedStubbingException,15,1,0,419
org.mockito.exceptions.misusing,UnfinishedStubbingException,16,1,0,419
org.mockito.exceptions.misusing,UnfinishedVerificationException,15,5,0,415
org.mockito.exceptions.misusing,UnfinishedVerificationException,16,5,0,415
org.mockito.exceptions.misusing,WrongTypeOfReturnValue,14,2,0,418
org.mockito.exceptions.misusing,WrongTypeOfReturnValue,15,2,0,418
org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,20,25,0,395
org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,21,25,0,395
org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,23,25,0,395
org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,24,25,0,395
