package,class,line,full_coverage,partial_coverage,no_coverage
org.mockito.configuration,DefaultMockitoConfiguration,18,235,0,0
org.mockito.configuration,DefaultMockitoConfiguration,21,164,0,71
org.mockito.configuration,DefaultMockitoConfiguration,28,213,0,22
org.mockito.configuration,DefaultMockitoConfiguration,35,0,0,235
org.mockito.configuration,DefaultMockitoConfiguration,42,0,0,235
org.mockito.exceptions.base,MockitoAssertionError,18,61,0,174
org.mockito.exceptions.base,MockitoAssertionError,20,61,0,174
org.mockito.exceptions.base,MockitoAssertionError,22,61,0,174
org.mockito.exceptions.base,MockitoAssertionError,23,61,0,174
org.mockito.exceptions.base,MockitoAssertionError,24,61,0,174
org.mockito.exceptions.base,MockitoAssertionError,33,0,0,235
org.mockito.exceptions.base,MockitoAssertionError,34,0,0,235
org.mockito.exceptions.base,MockitoAssertionError,35,0,0,235
org.mockito.exceptions.base,MockitoAssertionError,36,0,0,235
org.mockito.exceptions.base,MockitoAssertionError,39,0,0,235
org.mockito.exceptions.base,MockitoException,29,1,0,234
org.mockito.exceptions.base,MockitoException,30,1,0,234
org.mockito.exceptions.base,MockitoException,31,1,0,234
org.mockito.exceptions.base,MockitoException,34,31,0,204
org.mockito.exceptions.base,MockitoException,35,31,0,204
org.mockito.exceptions.base,MockitoException,36,31,0,204
org.mockito.exceptions.base,MockitoException,39,32,0,203
org.mockito.exceptions.base,MockitoException,41,32,0,203
org.mockito.exceptions.base,MockitoException,42,32,0,203
org.mockito.exceptions.base,MockitoException,43,32,0,203
org.mockito.exceptions.base,MockitoException,46,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,28,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,29,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,30,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,31,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,34,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,36,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,37,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,38,0,0,235
org.mockito.exceptions.base,MockitoSerializationIssue,41,0,0,235
org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,7,0,0,235
org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,8,0,0,235
org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,13,0,0,235
org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,14,0,0,235
org.mockito.exceptions.misusing,FriendlyReminderException,15,0,0,235
org.mockito.exceptions.misusing,FriendlyReminderException,16,0,0,235
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,15,2,0,233
org.mockito.exceptions.misusing,InvalidUseOfMatchersException,16,2,0,233
